Introduction	Greeting	Self	Name	Prefix	FirstName	LastName	Suffix	OccupationSentence	Major	JobTitle	CompanyName	number	Intent	Hometown	delicacy	weather	Origin	Motivation	Situation	Sit1	Sit2	badAdjective	Task	Action	Result	Lesson	Exclamation	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hello!	My name is	{FirstName} {LastName}	Miss	Dave	Strider	Jr.	I'm currently studying {Major} at {LastName} College.	Computer Science	Game Designer	Ink	1	I bring my {number} years of experience to this role of {JobTitle} at {Company}.	Dogtown	beef noodle soup	sunny	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down. {Sit1}, and {Sit2}."	I had the foresight to inspect the {delicacy} provided by the professor	I discovered that it was {badAdjective}.	sad	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	I learned an important lesson: {Lesson}. {Exclamation}!	never open an umbrella indoors	Yippee!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Salutations!	I'm	{Prefix} {FirstName} {LastName}	Mrs.	Rose	Lalonde	Sr.	I'm currently studying {Major} at {LastName} University.	Beekeeping	Game Scientist	Twine	2	"That brings me to my application for the {JobTitle} at {CompanyName}, which you are interviewing me for at the moment."	Cattown	kimchi fried rice	rainy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	My group member insulted {Hometown} despite my protests	it was truly a {badAdjective} experience.	floppy	I was responsible for making sure the skies were {weather} as a {JobTitle} on this team.	Bro just trust me	I learned an important lesson: {Lesson}. {Exclamation}!	look both ways before crossing the street	Wahoo!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hi!	Call me	{Prefix} {FirstName} {LastName} {Suffix}	Madame	Dirk	Egbert	the First	I'm currently studying {Major} at University of {LastName}.	Game Design	Professor	Yarn	3	That brings me to my application for the {JobTitle} at {CompanyName} today.	Beetown	braised pork rice	cloudy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	"It was a {weather} day, a sure sign of misfortune"	the clock's ticking signalled a {badAdjective} time.	unhappy	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	don't count your chickens before they hatch	Yay!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hey y'all!	You can call me	{FirstName} {LastName} {Suffix}	Mademoiselle	John	English	I	I recently graduated from {LastName} College with a degree in {Major}.	Horse Betting	Bootlicker	Thread	4	I bring my {number} years of experience with {Major} to this role of {JobTitle} at {Company}	Fishtown	chocolate cookies	foggy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down. {Sit1}, then {Sit2}."	Random	Random	poor	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	I learned an important lesson: {Lesson}. {Exclamation}!	don't beat a dead horse	Mhm!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	What's up!	I am	{FirstName} {LastName}	Sir	June	Myrope	II	I recently graduated from {LastName} University with a degree in {Major}.	Gacha Games	Shoeshiner	Needle	5	I bring my {number} years of experience with {Major} to this role of {JobTitle} at {Company}	Penguintown	Lava Cookies	stormy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	flaccid	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	a penny saved is a penny earned	That's right!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Howdy!	I go by	{Prefix} {FirstName} {LastName}	Prince	Roxy	Memory	III	I just graduated from {LastName} University with a degree in {Major}.	Rubber Ducking	Dog Walker	Cord	6	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Raccoontown	Slowpoke Tails	hot	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	fake	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	easy peasy lemon squeezy	Yippee!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Meowdy!	I am known by	{Prefix} {FirstName} {LastName} {Suffix}	Dr.	Jade	Smith	IV	I just graduated from {LastName} College with a degree in {Major}.	Malicious Monetization	Dog Groomer	Shoelace	7	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Rabbittown	garden eel salad	dry	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	inauthentic	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	most anime movies have terrible pacing	Wahoo!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hello.	My enemies call me	{FirstName} {LastName} {Suffix}	Professor	Jane	Lee	V	I'm currently working as a contractor at {Major}.	Gilded Treasures	Lawnmower	Aglet	8	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Cordtown	lamprey pie	arid	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	phony	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	"fool me once, shame on me"	Yay!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	A pleasure to meet you.	My name is	{FirstName} {LastName}	Mx.	Duke	Nukem	IV	I'm currently working as a full-time employee at {Major}.	Trials of Twilight	Air Conditioner	Sneaker	9	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Arrowtown	honey	wet	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	low-quality	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	somebody once told me the world was gonna roll me	Mhm!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	A pleasure to make your acquaintance.	I'm	{FirstName} {LastName}	Mr.	Ash	Ketchum	..	I'm previously worked as a contractor at {Major}.	Heavy is the Crown	Cardboard Box	Line	0	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Dogville	beef noodle soup	windy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	slapped-together	I was responsible for making sure the skies were {weather} as a {JobTitle} on this team.	Bro just trust me	"I learned two important lessons. First, {Lesson}. And second, {Lesson}. {Exclamation}!"	staying up is bad maybe	That's right!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Greetings and salutations!	My name is	{FirstName}	King	Link	No-last-name	..	I'm currently working as a full-time employee at {Major}.	Evolve and Overcome	Gofer	Ribbon	10	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Catville	kimchi fried rice	snowy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	untrue	I was responsible for making sure the skies were {weather} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	"I deserve every good thing in the world, even if I don't deserve it"	Yippee!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hola!	I'm	{LastName}	Monarch	Joon	Chang	..	I'm currently studying {Major} at {LastName} College.	Walk the True Path	Coffee Maker	String	11	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Farmville	braised pork rice	frosty	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	gray	I was responsible for making sure the skies were {weather} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	don't look a gift horse in the mouth	Wahoo!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	How's it going?	My name is	{FirstName}	Queen	Jared	Tang	..	I'm currently studying {Major} at {LastName} University.	Solo Leveling	Beekeeper	Horsehair	12	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Walkalville	chocolate cookies	gloomy	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	brown	I was responsible for making sure the skies were {weather} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	colors fly	Yay!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Booyah.	I'm	{FirstName}	Princess	Max	Summers	..	I'm currently studying {Major} at University of {LastName}.	Solo Plate	Shark Scientist	Rubber Band	13	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Pig City	Lava Cookies	hailing	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	rusted	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	thanks for coming to my TED Talk	Mhm!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Sup.	My name is	{FirstName}	Tyrant	Isabel	Garcia	..	I recently graduated from {LastName} College with a degree in {Major}.	Early Learnings	Discord Moderator	Silly Band	14	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	New Pork City	Slowpoke Tails	quaking	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	burnt	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	once is enough	That's right!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hewwo.	I'm	{FirstName}	Demon Lord	Johnny	Jhonny	..	I recently graduated from {LastName} University with a degree in {Major}.	Rolling for Days	Community Manager	Paperclip	15	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Hyrule	garden eel salad	bright	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	spoiled	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	I should get this job right now	Yippee!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Haiiiiii.	My name is	{FirstName} {LastName} {Suffix}	Lady	Ollie	Oops	..	I just graduated from {LastName} University with a degree in {Major}.	Treasure Hunt	Producer	Pen	16	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Paldea	lamprey pie	dark	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	muddled	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	you should hire me	Wahoo!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hellooooo!	I'm	{FirstName} {LastName}	Lord	Ally	Dally	..	I'm currently studying {Major} at {LastName} College.	Coronation	Engineer	Pencil	17	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Hisui	honey	cool	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	haunted	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	it's not over till it's over	Yay!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	Hey!	My name is	{FirstName} {LastName}	Duke	Austin	Powers	..	I'm currently studying {Major} at {LastName} University.	Lore and Legends	Procedural Content Generator	Eraser	18	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Lost Ark	bread	warm	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	salty	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	"I learned three lessons from this. First, {Lesson}. Second, {Lesson}. Last, but not least, {Lesson}.{Exclamation}!"	never give up	Mhm!	Random
{Greeting} {Self} {Name}. {OccupationSentence}. That's me!	G'day!	I'm	{FirstName} {LastName}	Darryl	Scott	Pilgrim	..	I'm currently studying {Major} at University of {LastName}.	Paleozoology	Yarn Spinner	Toothpick	19	My {number} years of experience with {Major} are sure to lend itself well to this role of {JobTitle} at {Company} in the near future!	Noah's Ark	chips	misty	"I hail from {Hometown}, a {weather} place known for its {delicacy}, and, and of course, myself!"	{Origin} And this inspired me to apply for this role. {Intent} I hope this makes it clear that I''m a good candidate.	"Back when I was a student at {LastName}, I had the misfortune of being assigned a group project and having to work with others. Despite this, I didn't let it bring me down."	Random	Random	sour	I was responsible for making {delicacy} as a {JobTitle} on this team.	Bro just trust me	I learned an important lesson: {Lesson}. {Exclamation}!	one fish blue fish	That's right!	Random
